Marque_voiture,Modele,Kilometrage,Couleur,TypeBoite,Annee,Cylindre,Puissance,Carburant,Prix
Volkswagen,Fox,10000,Blanc,Manuelle,1992,1.2L,5,Essence,8000
Renault,Capture,162022,Beige,Manuelle,2017,3.2L,5,Essence,46700
Mazda,CX-5,127000,Bleu,Automatique,2016,2.0L,9,Essence,22169726
Suzuki,Samurai,66561,Marron,Manuelle,2017,1.4L,5,Essence,63500
Kia,Picanto,147000,Argent,Manuelle,2016,1.6L,5,Essence,29500
Jeep,Manuelle,25.0,Grand Cherokee,1.6L,2000.0,Diesel,NULL,NULL,250
2006.0,Essence,4 x 4,Bleu,Grand Cherokee,200.0,1.9L,Jeep,NULL,250
Peugeot,7,84000,Gris,Manuelle,2022,1.9L,4 x 4,3008,48000
Citroen,Berlingo,300000,Blanc,Manuelle,2012,1.6L,5,Diesel,18000
Kia,Sportage,169000,Gris,Automatique,2021,1.6L,7,Diesel,105000
Volkswagen,Golf,100000,Gris,Manuelle,2020,<1.0L,5,Essence,70000
Hyundai,I 20,170000,Blanc,Manuelle,20205,1.2L,5,Essence,39200
1994.0,Diesel,Monospace,Gris,Pajero,388000.0,2.8L,Avec kilométrage,Manuelle,1500
Renault,Symbol,186,Camel,Manuelle,2010,1.2L,5,Essence,24500
Citroen,C-Elysée,120000,Gris,Automatique,2015,1.5L,7,Essence,26500
Renault,Megane Estate,42000,Noir,Automatique,2019,1.2L,7,Essence,60000
Volkswagen,Polo,113000,Gris,Manuelle,2010,1.2L,5,Essence,25000
Essence,Berline,120000,Rouge,Manuelle,Mazda,6,3,1.2L,48000
Suzuki,Celerio,180000,Marron,Manuelle,2017,<1.0L,05,Essence,35000
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,40000
NULL,NULL,Blanc,Peugeot,4,Essence,NULL,NULL,NULL,12500
Manuelle,23000,Gris,Avec kilométrage,Citroen,Berlingo,2003,Autres,3.0L,20000
Mercedes-Benz,Classe CLK,270000,Bleu,Manuelle,2002,2.0L,11,Essence,28500
Suzuki,5,20000,Blanc,1.2L,Manuelle,2023,Berline,Celerio,16500
Opel,Corsa,377000,Bleu,Manuelle,1997,1.2L,04,Essence,12500
Autres,Autres,30000,Noir,Automatique,2023,1.5L,7,Essence,31000
Renault,Clio,57000,Bleu,Manuelle,2019,1.2L,5,Essence,45000
Citroen,DS3,95000,Blanc,Manuelle,2010,1.4L,5,Essence,31000
Kia,Rio,75,Blanc,Manuelle,2021,1.2L,88,Essence,999999
Renault,19,222,Noir,Manuelle,1992,1.2L,5,Essence,8500
Volkswagen,Passat CC,215000,Noir,Manuelle,2012,1.6L,5,Diesel,47000
Citroen,C4,207000,Gris,Manuelle,2012,1.6L,1.6,Diesel,34500
Kia,Sportage,28000,Noir,Automatique,2021,1.4L,8,Essence,97000
Ford,Fiesta,201,Bleu,Manuelle,2008,1.2L,5,Essence,18000
Renault,Clio,100,Noir,Manuelle,2019,1.2L,4,Essence,37500
Nissan,Qashqai,89000,Gris,Manuelle,2017,1.5L,6,Diesel,70000
Daewoo,Nubira,281,Rouge,Manuelle,2000,1.8L,7,Essence,13000
Fiat,500X,180000,Jaune,Manuelle,2009,1.2L,4,Essence,29000
Audi,Q3,100000,Gris,Automatique,2017,1.4L,8,Essence,85000
Renault,Megane,42000,Noir,Automatique,2019,1.2L,7,Essence,60000
Nissan,Navara,215000,Noir,Manuelle,2012,3.0L,10,Diesel,52000
Autres,Autres,115001,Noir,Manuelle,2018,1.4L,06,Essence,38500
Hyundai,I 10,112000,Gris,Manuelle,2015,1.2L,5,Essence,35000
9,Diesel,50,Automatique,Noir,2018,Nouveau,Classe GLC,2.2L,240000
Citroen,C5,0,Noir,Manuelle,2011,2.0L,140,Diesel,30000
Fiat,Fiorino,207639,Blanc,Manuelle,2017,3.0L,5,Diesel,25500
Nissan,Qashqai,146000,Noir,Automatique,2011,2.0L,6,Essence,40000
Citroen,C4,-91000,Gris,Manuelle,2018,1.2L,5,Essence,39000
Volkswagen,Golf 7,132000,Gris,Automatique,2020,<1.0L,6,Essence,65000
Mercedes-Benz,Classe C Coupe,110650,Noir,Automatique,2016,1.6L,8,Essence,99000
Volkswagen,Polo,283170,Bleu,Manuelle,1998,1.4L,4,Essence,12000
Renault,Clio,280000,Gris,Manuelle,2000,1.2L,4,Compacte,16000
Ford,Ranger,316000,Bleu,Manuelle,1.5L,2006,12,Diesel,19500
BMW,Serie 3 GT,120000,Marron,Automatique,2014,1.6L,7,Essence,82000
Kia,Sorento,250,Bleu,Automatique,2012,2.0L,12,Diesel,47500
Citroen,C3,73500,Noir,Manuelle,2017,1.2L,4,Essence,32800
Mercedes-Benz,Utilitaire,150000,Blanc,Manuelle,0000,<1.0L,0,Diesel,35000
Renault,R19,500,Blanc,Manuelle,1992,1.2L,5,Essence,11111
Dacia,Dokker,177000,Noir,Manuelle,2019,1.5L,6,Diesel,33800
Honda,City,94000,Autre,Automatique,2021,1.5L,6,Essence,38000
Mercedes-Benz,Classe C Coupe,225000,Autre,Manuelle,2013,2.0L,7,Diesel,49000
Fiat,Punto,170000,Noir,Manuelle,2010,1.2L,05,Essence,23500
Ford,Transit,120000,Noir,Manuelle,2019,2.2L,7,Diesel,64000
Dacia,Dokker,230000,Blanc,Manuelle,2018,3.0L,6,Diesel,26000
Chevrolet,Aveo,240,Noir,Manuelle,2005,1.2L,5,Essence,12500
Honda,Accent,100000,Blanc,Manuelle,120000,1.2L,12548,Essence,1990
Peugeot,208,143000,Rouge,Manuelle,2016,1.2L,5,Essence,28000
Essence,Ford,246,Noir,Manuelle,2017,3.0L,Focus,0,37000000
Chery,QQ,116000,Bleu,Manuelle,2017,<1.0L,4,Essence,22800
Land Rover,Range Rover Evoque,50000,Blanc,Automatique,2019,2.0L,8,Diesel,195000
Renault,Capture,140000,Bleu,Manuelle,2015,<1.0L,6,Essence,42500
Toyota,4Runner,300000,Rouge,Manuelle,1992,3.0L,10,Diesel,65000
Hyundai,Grand i10,79000,Gris,Manuelle,2019,1.2L,5,Essence,39000
Peugeot,406,246000,Gris,Manuelle,2003,1.6L,7,Essence,16000
Audi,A4,248000,Noir,Manuelle,2011,1.4L,7,Essence,45000
Compacte,Essence,99000,Gris,Manuelle,2020,<1.0L,4,Picanto,33500
Toyota,Hi Ace,250000,Blanc,Manuelle,2004,3.0L,10,Diesel,14500
Peugeot,Bipper,154000,Blanc,Manuelle,2015,1.4L,6,Diesel,19500
Isuzu,D-MAX,20000,Blanc,Automatique,2022.-2023,1.9L,6,Diesel,210
Hyundai,Tucson,4650,Gris,Automatique,2023,1.6L,10,Essence,155000
Fiat,Croma,240000,Gris,Manuelle,2009,1.9L,7,Diesel,23500
Peugeot,407,1111111,Noir,Manuelle,2006,1.6L,6,Diesel,56777452
Citroen,Berlingo,197000,Noir,Manuelle,2018,1.4L,5,Diesel,35999
Volkswagen,Tiguan,200000,Blanc,Automatique,2012,2.0L,9,Diesel,60000
Citroen,AX,365226,Blanc,Manuelle,1992,1.4L,4,Essence,6200
Ford,Focus,70000,Noir,Manuelle,2013,1.6L,7,Essence,31800
Renault,Megane Estate,140000,Noir,Manuelle,2004,1.5L,5,Diesel,14500
Mitsubishi,L200,500000,Multicolore,Manuelle,1999,2.0L,8,Diesel,123
Kia,Rio,115000,Bleu,Manuelle,2018,1.4L,5,Essence,39500
Volkswagen,Passat CC,200000,Noir,Manuelle,2012,1.6L,5,Diesel,48000
Berline,Toyota,200000,Noir,Manuelle,2008,Essence,Yaris,4,23000
Volkswagen,Polo,200000,Noir,Manuelle,2016,<1.0L,4,Essence,36700
Renault,Megane CC,75000,Blanc,Automatique,2021,1.2L,7,Essence,70000
Peugeot,Expert,160000,Noir,3.0L,Manuelle,2021,6,Diesel,55000000
Patrol,Manuelle,1998,>4.0L,Diesel,4 x 4,17,Avec kilométrage,500000,35000
Peugeot,2008,180000,Blanc,Manuelle,2014,1.2L,5,Essence,39000
Fiat,Ducato,39999,Blanc,Manuelle,2014,1.3L,7,Diesel,13800
Fiat,Punto,212000,Gris,Manuelle,2012,1.2L,4,Essence,26000
Volkswagen,Passat CC,215000,Noir,Manuelle,2012,1.6L,5,Diesel,47000
Volkswagen,Golf,333333,Blanc,Manuelle,1991,1.9L,4,Diesel,9500
Essence,Avec kilométrage,170,Manuelle,Gris,2016,208,<1.0L,Utilitaire,24000
Opel,Astra,276000,Noir,Manuelle,2004,1.2L,5,Essence,19000
Renault,R19,000000,Bleu,Manuelle,1993,<1.0L,6,Essence,9000
Renault,Clio,250000,Gris,Manuelle,2006,1.2L,5,Essence,23000
Porsche,Panamera,54200,Blanc,Automatique,2011,3.5L,21,Essence,190000
Citroen,C4,210000,Gris,Manuelle,2012,1.6L,6,Essence,28000
Fiat,500X,163000,Blanc,Automatique,2016,1.2L,4,Essence,40000
BMW,X6,190000,Blanc,Automatique,2009,3.0L,15,Diesel,95000
Citroen,C4,1,Camel,Manuelle,2010,1.4L,6,Essence,23000
Mercedes-Benz,Classe E,142000,Noir,Manuelle,2007,2.0L,11,Essence,44800
Ssangyong,Actyon,306200,Rouge,Manuelle,2016,2.0L,7,Diesel,33000
85000,Leon,Blanc,Nouveau,2019,2.0L,Seat,17,Essence,99000
9,1.5L,29000,Noir,Automatique,Berline,Essence,2022,Yukon,85000
Renault,Scenic,260,Rouge,Manuelle,2006,1.5L,Autres,5,22000
BMW,Serie 3,240,Gris,Automatique,2007,3.0L,13,Essence,39000
Peugeot,Bipper,263000,Gris,Manuelle,2012,1.3L,5,Essence,27500
Mercedes-Benz,190,00000,Rouge,Manuelle,1986,2.0L,9,Diesel,53765458
Serie 5,Essence,161000,Manuelle,Berline,Noir,2004,Avec kilométrage,3.0L,42000
Renault,Megane,288,Bleu,Manuelle,2010,1.5L,5,Diesel,24000
Alfa Romeo,145,179000,Gris,Manuelle,1998,1.4L,7,Essence,15000
Autres,Autres,85000,Rouge,Manuelle,2018,<1.0L,6,Essence,42000
Citroen,Nemo,180000,Blanc,Manuelle,2014,1.5L,5,Diesel,23000
Citroen,C-Elysée,150,Gris,Manuelle,2015,1.2L,5,Essence,11111111
Chevrolet,Optra,230,Noir,Manuelle,2006,1.4L,6,Essence,17500
106,Essence,167000,Vert,Manuelle,1999,Peugeot,<1.0L,Berline,12500
Opel,Astra,268,Gris,Manuelle,2007,1.4L,5,Essence,23000
Seat,Ibiza,158,Blanc,Manuelle,2013,1.2L,5,Essence,33000
Kia,Rio,176000,Bleu,Automatique,2013,1.4L,6,Essence,37000
Volkswagen,Passat,105,Noir,Automatique,2017,1.4L,8,Essence,95000
Fiat,Punto,168000,Gris,Manuelle,2012,1.2L,5,Essence,23000
4,Essence,40000,Vert,<1.0L,Hyundai,I 10,Nouveau,Autres,44000
Peugeot,208,132000,Rouge,Manuelle,2018,1.2L,4,Essence,32000
Citroen,Nemo,162000,Noir,Manuelle,2018,1.3L,5,Diesel,29500
6,Compacte,19000,Gris,Manuelle,Peugeot,207,Essence,1.4L,23000
Baleno,5,141,Automatique,2017,1.4L,Suzuki,Essence,NULL,41000
Volkswagen,Polo,231000,Noir,Manuelle,2010,1.2L,4,Essence,30500
Volkswagen,Golf,473000,Gris,Manuelle,2006,1.9L,5,Diesel,31000
Nissan,Qashqai,43000,Gris,Manuelle,2020,1.5L,6,Diesel,95000
65,Clio,800,Blanc,2004,1.9L,Renault,Compacte,NULL,12000
Peugeot,206,270229,Gris,Manuelle,2001,1.1L,4,Essence,16500
Chery,Tiggo,25500,Noir,Manuelle,2020,1.4L,6,Essence,52000
Peugeot,3008,117000,Gris,Automatique,2021,1.2L,6,Essence,84500
Citroen,DS3,91000,Blanc,Manuelle,2018,<1.0L,5,Essence,37500
Renault,Megane,290000,Noir,Manuelle,2010,1.5L,7,Diesel,8500
Renault,Clio,300,Gris,Manuelle,2011,1.5L,4,Diesel,24211615
Renault,Clio,162000,Blanc,Manuelle,2017,1.2L,5,Essence,38000
Compacte,Essence,88000,Gris,2018,Citroen,C3,0,Avec kilométrage,35000
Peugeot,208,120,Gris,Manuelle,2018,<1.0L,32500,Essence,32500
BMW,Serie 1,127000,Blanc,Automatique,2012,1.6L,7,Essence,49500
Renault,Grand Espace,00000,Blanc,Manuelle,2001,2.2L,8,Diesel,18000
Peugeot,205,166.000,Autre,Manuelle,2019,1.2L,5,Essence,32500
Compacte,Essence,Manuelle,2001,Peugeot,206,4,220000,Avec kilométrage,16000
Opel,Corsa,116,Gris,Manuelle,2017,<1.0L,4,Essence,31000
Mercedes-Benz,Classe E,211000,Blanc,Manuelle,2010,1.8L,11,Essence,62000
7,Berline,226,Blanc,2012,Volkswagen,Golf,Essence,1.4L,42000
308,6,80000,Bleu,Manuelle,2020,Peugeot,Essence,<1.0L,49000
Dacia,Dokker,166,Noir,Manuelle,2013,1.6L,6,Diesel,21000
Citroen,C-Elysée,178,Noir,Automatique,2016,1.2L,5,Essence,21000
Renault,Symbol,220000,Noir,Manuelle,2010,1.2L,5,Essence,25000
Ford,Fiesta,0,Gris,Manuelle,2008,1.2L,4,Diesel,22000
Ford,Fiesta,145000,Bleu,Manuelle,2013,1.2L,5,Essence,22000
Seat,Leon ST,200000,Gris,Manuelle,2015,1.2L,5,Essence,40500
Manuelle,Autres,5,Renault,Essence,Beige,Avec kilométrage,1,3.0L,6000
Volkswagen,Polo,10850,Jaune,Manuelle,2022,1.4L,Berline,NULL,33000
Peugeot,309,00000,Blanc,Manuelle,1993,1.4L,5,Essence,6000000
Ford,Mondeo,200000,Bleu,Manuelle,2012,1.6L,7,Essence,32000
Fiat,Punto,212000,Gris,Manuelle,2012,1.2L,4,Essence,26000
Hyundai,I 10,127000,Gris,Manuelle,2013,1.1L,4,Essence,25500
DS3,Essence,146000,Manuelle,Compacte,Blanc,2014,Avec kilométrage,5,28999
Seat,Ibiza,40000,Gris,Manuelle,2019,3.0L,10000,Essence,65000
Kia,Sportage,98000,Noir,Automatique,2020,1.6L,8,Essence,97000
Seat,Ibiza,40000,Gris,Manuelle,2019,3.0L,10000,Essence,65000
Mercedes-Benz,Vito,1111,Blanc,Manuelle,1980,3.0L,3.0,Diesel,1999
Ssangyong,Actyon,120,Blanc,Manuelle,2017,1.6L,7,Essence,52500
Citroen,C4,218630,Bleu,Manuelle,2012,1.2L,3,Essence,26500
4,Essence,215415,Noir,Manuelle,2009,Autres,<1.0L,Autres,24500
1998.0,Essence,Compacte,Blanc,Corsa,270000.0,1.2L,Avec kilométrage,Manuelle,9200
Peugeot,504,700000,Camel,Manuelle,1990,2.0L,8,Diesel,7000
301,Essence,62716,Manuelle,Peugeot,Berline,2013,Avec kilométrage,5,29000
Dacia,Sandero,40000,Blanc,Manuelle,2020,<1.0L,4,Essence,35000
AC,Seven,100,Rouge,Manuelle,1976,<1.0L,3,Essence,4300
Mercedes-Benz,210,0000,Noir,Manuelle,2000,1.9L,9,Essence,29353709
Kia,Rio,110000,Blanc,Manuelle,2020,1.6L,5,Essence,54000
Peugeot,301,126000,Blanc,Manuelle,2014,1.4L,5,Essence,21800
Volkswagen,Multivan,180,Noir,Automatique,2018,2.0L,9,Diesel,120
Peugeot,3008,79000,Noir,Automatique,2020,1.6L,7,Essence,98000
Nissan,Patrol GR,334000,Gris,Manuelle,1990,2.8L,11,Diesel,29000
Mazda,BT-50,180000,Gris,Manuelle,2018,2.0L,9,Diesel,68000
Seat,Ibiza,82000,Gris,Avec kilométrage,2018,1.2L,4,Essence,50000
Mercedes-Benz,Classe GLA,24000,Noir,Automatique,2021,1.5L,7,Essence,180
Volkswagen,Polo,113000,Gris,Manuelle,2010,1.2L,5,Essence,25000
Ssangyong,Actyon,265000,Gris,Automatique,2012,2.3L,8,Diesel,49900
Kia,Sportage,175000,Noir,Manuelle,2013,1.6L,8,Essence,60000
Mercedes-Benz,Classe A,150000,Noir,Automatique,2013,1.8L,7,Diesel,59000
Autres,Autres,68000,Autre,Manuelle,2020,1.5L,6,Essence,46000
Volkswagen,Polo,275,Gris,Manuelle,2009,1.2L,5,Essence,22800
Renault,Kangoo,0000,Gris,Manuelle,2001,1.2L,6,Essence,15500
Focus,6,27000,Bleu,2007,1.6L,Ford,Essence,Autres,21500
Nissan,Qashqai,62000,Noir,Automatique,2018,1.2L,6,Essence,81900
Volkswagen,Golf,170000,Bleu,Manuelle,2019,<1.0L,6,Essence,66000
Volkswagen,Golf,88000,Bleu,Manuelle,2019,<1.0L,6,Essence,67000
Noir,Avec kilométrage,Land Rover,Range Rover Evoque,Hybride,Compacte,18000,Automatique,1.5L,280000
Isuzu,D-MAX,0,Noir,Automatique,2023,3.0L,10,Diesel,1111111
Audi,A4,128000,Noir,Manuelle,2011,2.0L,8,Diesel,58000
Peugeot,206,335420,Noir,Manuelle,2003,1.4L,63,Essence,13200
Autres,Autres,40000,Bleu,Automatique,2020,1.4L,7,Essence,90000
1.6L,Compacte,220000,Noir,Citroen,Manuelle,2012,Essence,6,29500
Mahindra,Hover,58000,Blanc,Manuelle,2019,1.2L,5,Essence,35000
Mercedes-Benz,Classe A,150000,Noir,Automatique,2013,1.8L,7,Diesel,59000
Ford,Focus,173000,Bleu,Manuelle,2016,<1.0L,6,Essence,43500
Mercedes-Benz,Classe C Coupe,149000,Noir,Manuelle,2009,1.8L,9,Essence,51000
Citroen,Jumpy,00000,Blanc,Manuelle,2011,1.6L,7,Diesel,23000
Peugeot,206,Avec kilométrage,Bleu,Manuelle,2007,1.4L,6,Essence,14500
Toyota,4Runner,300000,Rouge,Manuelle,1992,3.0L,10,Diesel,65000
Autres,Autres,151500,Blanc,Manuelle,2018,1.5L,9,Essence,56500
Mercedes-Benz,Classe A,150000,Noir,Automatique,2013,1.8L,7,Diesel,59000
Peugeot,3008,250,Gris,Manuelle,2010,1.2L,7,Essence,28500
Opel,Corsa,105000,Noir,Manuelle,2016,1.4L,5,Essence,31000
Volkswagen,Golf 7,150,Gris,Manuelle,1016,1.2L,5,Essence,62000
Volkswagen,Golf 7,150,Gris,Manuelle,1016,1.2L,5,Essence,62000
Fiat,Punto,150000,Rouge,Manuelle,2009,1.2L,5,Essence,16000
Linea,Essence,159000,Manuelle,Berline,2012,Noir,Avec kilométrage,6,26000
Citroen,Berlingo,49000,Gris,Manuelle,2019,1.6L,Diesel,0,48000
Renault,Mascott,500000,Blanc,Manuelle,2005,3.0L,3,Diesel,30000
Renault,Megane Estate,220000,Autre,Manuelle,2013,1.2L,6,Essence,32000
Fiat,Fiorino,300,Gris,Manuelle,2017,1.4L,5,Diesel,20500
Audi,A3,91300,Blanc,Manuelle,2017,1.2L,6,Essence,70000
Nissan,Qashqai,122000,Blanc,Manuelle,2016,1.2L,6,Essence,80000
Chevrolet,Aveo,270,Noir,Manuelle,2013,1.2L,5,Essence,17800
Grande Punto,5,238000,Noir,2009,1.2L,Fiat,Essence,Avec kilométrage,19200
Hyundai,I 20,8000,Blanc,Manuelle,2023,1.2L,5,Essence,67000
Volkswagen,Amarok,257000,Noir,Manuelle,2013,2.0L,7,Diesel,65000
Ssangyong,8,112000,Gris,Automatique,2018,1.6L,Essence,Family,57000
Fiat,Uno,0000,Rouge,Manuelle,00,2.0L,7000000,Essence,7000000
Ford,Focus,108,Gris,Manuelle,2011,1.4L,6,Essence,1111111
Fiat,Uno,0000,Rouge,Manuelle,00,2.0L,7000000,Essence,7000000
Isuzu,D-MAX,123548888,Blanc,Manuelle,1986,2.1L,1111,Diesel,2500
Isuzu,D-MAX,123548888,Blanc,Manuelle,1986,2.1L,1111,Diesel,2500
Fiat,Punto,182,Rouge,Manuelle,2009,1.2L,5,Essence,19500
Fiat,500,166325,Blanc,Manuelle,2012,1.2L,4,Essence,28500
Ford,Fusion,228,Noir,Manuelle,2010,1.2L,5,Essence,21600
Chevrolet,Optra,200000,Gris,Manuelle,2007,1.6L,6,Essence,1111
Renault,Clio,250,Noir,Manuelle,2008,1.5L,4,Diesel,27000
Opel,Astra,0,Noir,Manuelle,2007,1.4L,5,Essence,24000
Ford,Fiesta,68220,Bleu,Manuelle,1997,1.2L,5,Essence,10000
Peugeot,Diesel,222000,Gris,Manuelle,2011,1.4L,207,5,34000
Autres,Autres,35000,Blanc,Manuelle,2019.0,1.5L,6.0,Essence,41000
Renault,Clio,36000,Rouge,Manuelle,2021,<1.0L,4,Essence,43999
BMW,Serie 5,62000,Bleu,Automatique,2018,2.0L,10,Diesel,99096999
Chevrolet,Captiva,30000,Blanc,Automatique,2022,1.5L,9,Essence,20000
Opel,Astra,228,Gris,Manuelle,2008,1.4L,Berline,5,25500
Volkswagen,Amarok,260000,Noir,Manuelle,2013,2.0L,8,Diesel,56000
Peugeot,4008,74000,Noir,Manuelle,2020,1.8L,8,Diesel,86000
Kadett,5,599652,Gris,Manuelle,1995,Opel,Compacte,1.4L,3800
Volkswagen,Passat,0000,Vert,Manuelle,1989,1.6L,4,Diesel,5499
Ford,Fiesta,11111111111,Blanc,Manuelle,1990,1.6L,4,Essence,6500
Audi,A4,178000,Blanc,Manuelle,2013,1.8L,7,Essence,46500
6,Compacte,Gris,Avec kilométrage,1999,Ford,Escort,Diesel,99999,9500
Mercedes-Benz,Classe A,138000,Gris,Automatique,2018,1.4L,8,Essence,1111
2017.0,Diesel,Pick up,Blanc,Autres,148000.0,2.1L,Avec kilométrage,Manuelle,30000
9,Berline,Gris,Avec kilométrage,2009,2.0L,Renault,Essence,200000,34000
Geely,GK-GL,30000,Blanc,Automatique,2022,1.5L,6,Essence,53800
Audi,A3,200,Argent,Manuelle,2004,2.0L,7,Diesel,700
Citroen,C5,300000,Gris,Manuelle,2008,1.6L,6,Diesel,20000
Ford,Focus,205000,Gris,Nouveau,2011,1.4L,6,Essence,29000
Fabia,Essence,98500,Gris,Manuelle,<1.0L,Skoda,2020,Compacte,42000
BMW,Serie 1,170000,Bleu,Automatique,2012,>4.0L,7,Essence,55000
Mercedes-Benz,Classe ML,304.000,Noir,Automatique,2003,2.7L,11,Diesel,35000
Fiat,Doblo,59000,Gris,Manuelle,2018,3.0L,5,Diesel,34500
Volkswagen,Polo,00000,Autre,Manuelle,2011,1.2L,4,Diesel,15000
Audi,A4,200000,Noir,Automatique,2014,1.8L,07,Essence,45000
Kia,Rio,114000,Bleu,Manuelle,2018,1.4L,5,Essence,39500
Citroen,C4,218630,Bleu,Manuelle,2012,1.2L,3,Essence,26500
D-MAX,12,380000,Blanc,2011,3.0L,Isuzu,Pick up,Nouveau,58000
D-MAX,12,380000,Blanc,2011,3.0L,Isuzu,Pick up,Nouveau,58000
D-MAX,12,380000,Blanc,2011,3.0L,Isuzu,Pick up,Nouveau,58000
Mahindra,Hover,58000,Blanc,Manuelle,2019,1.2L,5,Essence,35000
Chery,Tiggo,96000,Gris,Manuelle,2020,1.4L,5,Essence,40000
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,27906975
Autres,Autres,44000,Blanc,Manuelle,2021,>4.0L,6,Essence,61000
Autres,Autres,44000,Blanc,Manuelle,2021,>4.0L,6,Essence,61000
Peugeot,305,250000,Beige,Manuelle,1990,<1.0L,7,Diesel,3500
BMW,Serie 1,240000,Blanc,Automatique,2014,1.6L,7,Essence,65000
Ford,Fiesta,123456,Rouge,Manuelle,1993,<1.0L,5,Essence,4500
Peugeot,Compacte,99500,Gris,<1.0L,2011,Manuelle,206,Essence,25000
Peugeot,307,00000000,Jaune,Manuelle,2005,1.5L,5,Diesel,13000
Renault,Kangoo,12220855,Blanc,Manuelle,1998,<1.0L,7668,Diesel,7500
Renault,Clio,1,Gris,Manuelle,2000,3.0L,1,Essence,111111111
Renault,Clio,1,Gris,Manuelle,2000,3.0L,1,Essence,111111111
Fiat,Grande Punto,2900000,Blanc,Manuelle,1996,<1.0L,4,Essence,11800
Ford,Escort,1234,Autre,Manuelle,1986,1.6L,Berline,5,5000
Citroen,C4,195,Rouge,Manuelle,2010,1.6L,5,Diesel,23500
Volkswagen,Gol,11111,Beige,Manuelle,2008,1.7L,7,Essence,320
Autres,Autres,81700,Rouge,Manuelle,Avec kilométrage,1.5L,06,Essence,37000
AC,Seven,10000,Noir,Manuelle,111111,<1.0L,1,Essence,170
Citroen,C4,218630,Bleu,Manuelle,2012,1.2L,3,Essence,26500
Isuzu,D-MAX,350000,Blanc,Manuelle,2016,2.5L,8,Diesel,41000
Citroen,C4,195.000,Rouge,Manuelle,2010,1.6L,5,Autres,23500
Kia,Rio,150,Rouge,Manuelle,2017,>4.0L,5,Essence,40500
Kia,Picanto,75,Blanc,Automatique,2020,1.2L,5,Essence,47500
Volkswagen,Bora,215,Argent,Manuelle,2001,1.6L,7,Essence,111111111111111
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,42500
Essence,NULL,350,Vert,2003,Opel,Corsa,NULL,NULL,14200
Fiat,Pinto,350000,Blanc,Manuelle,2002,1.9L,5,Diesel,12000
Opel,Corsa,170000,Blanc,Manuelle,2016,1.2L,5,Essence,28200
Alfa Romeo,159,190000,Gris,Manuelle,2009,2.0L,9,Diesel,28000
Berline,6,Vert,Manuelle,1.2L,Hyundai,Essence,Accent,00000,9000
Suzuki,5,90000,Noir,Manuelle,2018,1.2L,Berline,Alto,33000
Mahindra,Hover,45000,Noir,Manuelle,2020,1.2L,5,Essence,31000
AC,Cobra,320,Rouge,Manuelle,97,1.3L,10,Essence,9000
Renault,Clio,108000,Rouge,Manuelle,2014,1.4L,5,Essence,37500
AC,Cobra,320,Rouge,Manuelle,97,1.3L,10,Essence,9000
AC,Cobra,320,Rouge,Manuelle,97,1.3L,10,Essence,9000
Peugeot,206+,119000,Noir,Manuelle,2013,1.4L,5,Essence,26500
Opel,Kadett,123556,Gris,Manuelle,2000,1.6L,5,Diesel,4000
Volkswagen,Golf 6,309000,Gris,Manuelle,2011,1.6L,5,Diesel,36000
Renault,Express,11111,Blanc,Manuelle,96,>4.0L,111,Diesel,9000
Renault,Express,11111,Blanc,Manuelle,96,>4.0L,111,Diesel,9000
1.2L,Captur,Manuelle,Renault,Bleu,Avec kilométrage,2014,6,NULL,36000
Nissan,Qashqai,71,Gris,Automatique,2021,1.6L,7,Essence,999999999999
Fiesta,5,149000,Noir,Manuelle,1.2L,Ford,Compacte,2011,25400
Essence,Kia,175000,Noir,Manuelle,2013,4,Picanto,1.2L,29000
Peugeot,301,130000,Gris,Manuelle,2018,1.4L,12,Essence,20000
BMW,X5,215000,Noir,Automatique,2002,3.0L,12,4 x 4,38000
Volkswagen,Amarok,220000,Noir,Manuelle,2013,2.0L,8,Diesel,63000
Kia,Mohave,93000,Gris,Automatique,2010,3.5L,17,Diesel,51000
Peugeot,301,190000,Blanc,Manuelle,2019,1.2L,5,Essence,25000
Volkswagen,Golf 4,30000,Gris,Manuelle,1999,1.9L,5,Diesel,16500
Autres,Autres,79700,Autre,Automatique,2018,2.0L,9,Essence,63000
Volkswagen,Golf 4,300000,Gris,Manuelle,2001,1.6L,7,Essence,22000
Toyota,Hilux,200,Blanc,Manuelle,2010,2.8L,8,Diesel,111111
Citroen,Berlingo,151000,Blanc,Manuelle,2017,1.6L,5,Diesel,38000
Hilux,Diesel,84000,Noir,Automatique,2019,Toyota,Berline,9,180000
BMW,10,235000,Bleu,Manuelle,2008,1.9L,Serie 5,Diesel,45000
Audi,Q3,120000,Gris,2018,Compacte,Automatique,<1.0L,Essence,87000
4,Essence,229000,Avec kilométrage,2015,Fiat,Grande Punto,NULL,NULL,23000
Citroen,Berlingo,239000,Bleu,Manuelle,2010,1.9L,7,Diesel,22000
Autres,Essence,Avec kilométrage,Blanc,2000,Renault,Clio,1.3L,360,11000
Polo,Berline,220000,Jaune,Manuelle,2021,Volkswagen,1.6L,Diesel,46000
Volkswagen,Jetta,300000,Noir,Manuelle,2010,1.6L,7,Essence,30000
